Code,Long,Lat,MDS1,MDS2
GSA6,0.81984008,40.31656886,-1532.06243164348,-174.852952045078
GSA7,3.74940162,42.93176014,-989.284388209306,-488.738424717578
GSA9,10.09333566,43.46847294,-908.23357138579,187.479858563305
GSA10,15.78478436,39.65055684,-279.82851249546,-132.076390646365
GSA17,13.09985367,44.66757228,396.235443791307,929.69639661389
GSA18w,17.2632095,41.07604513,349.701906586404,231.524686983643
GSA18e,19.17726382,41.3280098,349.990868830342,219.796292471558
GSA22,25.73539571,40.57023564,970.06068229102,-186.740193667832
GSA24,35.28635558,36.44044184,1643.42000223496,-586.089273555543
